source,target,weight
0,817,0.924166738986969
0,497,0.9233358502388
0,886,0.9172695875167847
0,699,0.9122090339660645
1,1003,0.9999998807907104
1,713,0.9329730272293091
1,1046,0.9328618049621582
1,291,0.9293889999389648
1,422,0.9273595213890076
1,1212,0.9271974563598633
1,891,0.9265077114105225
1,1949,0.9260553121566772
1,1149,0.9257867336273193
2,312,0.9312567114830017
2,513,0.9261191487312317
2,395,0.9258712530136108
2,192,0.9229521155357361
2,823,0.9221606254577637
2,737,0.9181490540504456
3,562,0.9309061169624329
3,1742,0.930379331111908
3,380,0.9299689531326294
3,760,0.9279065132141113
3,917,0.9271062016487122
3,599,0.9264733791351318
3,227,0.9252968430519104
3,852,0.9251999855041504
3,8,0.9250103235244751
5,968,0.9368280172348022
5,496,0.9277613162994385
5,169,0.9267082810401917
5,851,0.925358772277832
5,571,0.9224955439567566
6,1974,0.9286158084869385
7,409,0.9135278463363647
8,821,0.9423209428787231
8,980,0.9396904110908508
8,760,0.9292269945144653
8,308,0.9290395379066467
8,284,0.9274648427963257
8,870,0.9236096143722534
9,11,0.9788115620613098
9,715,0.9414356350898743
9,512,0.9363667964935303
9,209,0.934393584728241
9,923,0.9277626276016235
9,312,0.9260219931602478
9,962,0.9249594807624817
9,366,0.9245108962059021
9,114,0.9243686199188232
9,769,0.9234555959701538
10,789,0.9366798996925354
10,276,0.9291800856590271
10,342,0.9280315637588501
10,739,0.9261643886566162
10,840,0.925264835357666
10,300,0.9204950928688049
11,618,0.9314877390861511
11,923,0.930972158908844
11,715,0.9298097491264343
11,366,0.9284898638725281
11,475,0.9221511483192444
11,349,0.9214776158332825
12,769,0.9331278800964355
12,1348,0.9249953031539917
13,592,0.9321326017379761
13,292,0.9315847754478455
13,873,0.9299297332763672
13,879,0.9297323226928711
13,276,0.9280404448509216
13,558,0.9278498888015747
13,510,0.9270949363708496
13,805,0.9246041774749756
14,913,0.9305495023727417
14,800,0.9296717047691345
14,463,0.9268239140510559
14,489,0.9265459179878235
14,270,0.9264889359474182
14,438,0.926272451877594
14,637,0.9255319833755493
14,209,0.9247918128967285
14,455,0.9245127439498901
15,279,0.9306861162185669
15,879,0.9284495115280151
15,273,0.9280455112457275
15,257,0.9278748035430908
15,110,0.9274207353591919
15,639,0.925967276096344
15,442,0.9245895147323608
15,17,0.9241356253623962
16,376,0.9568392634391785
16,417,0.9359447956085205
16,84,0.9332297444343567
16,828,0.9332060813903809
16,289,0.9326840043067932
16,336,0.9322561621665955
16,933,0.9317318797111511
16,195,0.9295014142990112
16,169,0.9293419718742371
16,851,0.9291276931762695
17,273,0.9342136979103088
17,846,0.9288497567176819
17,522,0.9232105612754822
17,80,0.918172299861908
17,597,0.9173528552055359
18,234,0.9119536280632019
18,254,0.9046767354011536
18,268,0.8993701338768005
20,544,0.9211128354072571
20,187,0.9176170229911804
20,139,0.915206253528595
20,461,0.9125663638114929
21,833,0.923738956451416
22,439,0.9200952053070068
22,968,0.9165295958518982
23,151,0.9135282635688782
23,1635,0.9117026925086975
24,879,0.9333829283714294
24,983,0.9309509992599487
24,794,0.9297403693199158
24,869,0.9272391200065613
24,110,0.9269128441810608
24,291,0.9265452027320862
24,520,0.9264253377914429
24,716,0.925405740737915
24,285,0.9247016310691833
25,704,0.9518216252326965
25,186,0.9438548684120178
25,294,0.928027331829071
25,651,0.9244391322135925
25,700,0.9225530028343201
26,599,0.9301791787147522
26,871,0.9300212860107422
26,243,0.9273372888565063
26,47,0.9206346273422241
26,680,0.9204809069633484
26,856,0.9203316569328308
26,1718,0.9203316569328308
28,960,0.9094461798667908
29,522,0.9287617802619934
29,937,0.92162024974823
29,805,0.9205626845359802
29,848,0.9193092584609985
29,735,0.9180493354797363
29,214,0.9158458113670349
30,612,0.9309523701667786
30,350,0.9299477338790894
30,401,0.9298346638679504
30,438,0.929410994052887
30,192,0.9288926124572754
30,548,0.9278503060340881
30,461,0.9253292679786682
30,754,0.9245213866233826
30,200,0.9244334697723389
30,849,0.9237598776817322
31,1045,0.9243016839027405
31,896,0.9196399450302124
31,770,0.9194271564483643
31,1268,0.9125664234161377
31,729,0.9108637571334839
31,973,0.9079442620277405
32,916,0.9327461123466492
32,1493,0.9277867674827576
32,427,0.9155744910240173
32,1085,0.9122557044029236
32,668,0.9115033149719238
32,832,0.9083538055419922
32,1388,0.9077189564704895
32,574,0.9060667157173157
33,522,0.9320021271705627
33,716,0.9314649105072021
33,540,0.9298954010009766
33,713,0.929223358631134
33,337,0.9291949272155762
33,96,0.9284031987190247
33,639,0.9283342957496643
33,396,0.9282904267311096
33,882,0.9267422556877136
34,304,0.9206134080886841
34,731,0.9184805750846863
34,997,0.9170864820480347
35,369,0.8931511640548706
36,431,0.9268857836723328
36,332,0.9188622236251831
37,172,0.9380000233650208
37,419,0.9362835884094238
37,924,0.9341338276863098
37,277,0.9308152198791504
37,83,0.9304498434066772
37,1883,0.9288762807846069
37,909,0.9284310936927795
37,471,0.926771879196167
37,852,0.9266538619995117
38,913,0.9249202609062195
38,260,0.9132775664329529
38,839,0.9130144119262695
40,972,0.9109408855438232
41,465,0.9238299131393433
41,996,0.9224295616149902
41,1921,0.910568356513977
42,762,0.9390487670898438
42,405,0.9389267563819885
42,406,0.934262752532959
42,727,0.9284403920173645
42,308,0.9275243878364563
42,272,0.9272162914276123
42,291,0.9263129830360413
43,578,0.922338604927063
43,116,0.9208865761756897
43,863,0.9175592064857483
44,222,0.9310348629951477
44,408,0.9246177077293396
44,772,0.9244316220283508
45,81,0.9582164883613586
46,401,0.9269803762435913
46,530,0.9207704067230225
46,687,0.9140005707740784
47,243,0.9329657554626465
47,318,0.9275025725364685
47,787,0.9185017347335815
47,48,0.91694176197052
47,668,0.9150272011756897
48,587,0.9416961669921875
48,243,0.9343076348304749
48,318,0.9234644174575806
48,155,0.9219170808792114
48,695,0.9213113188743591
48,668,0.9175597429275513
48,271,0.9165950417518616
50,677,0.9326235055923462
50,161,0.9314941763877869
50,326,0.9279882907867432
50,411,0.9252321720123291
50,453,0.9229016304016113
50,339,0.9207897186279297
51,714,0.9183750748634338
51,449,0.914597749710083
51,241,0.9102214574813843
52,840,0.9201949834823608
52,262,0.9184815287590027
53,842,0.9348770380020142
53,913,0.9315886497497559
53,341,0.9308314323425293
53,747,0.9255590438842773
53,912,0.9240997433662415
53,778,0.9225005507469177
53,435,0.9223324656486511
53,640,0.9223307371139526
54,1240,0.9224869608879089
54,1463,0.9207274317741394
54,810,0.9186367988586426
54,1714,0.9127259850502014
55,276,0.9275461435317993
55,305,0.9252915978431702
55,140,0.9249966740608215
55,840,0.9173483848571777
55,1234,0.9173234701156616
56,183,0.9333627820014954
56,644,0.9255990386009216
56,798,0.920732319355011
56,335,0.9155423641204834
57,1606,0.941632866859436
57,1217,0.9303919672966003
57,1812,0.9291817545890808
57,397,0.9238321185112
57,1481,0.9226778149604797
57,686,0.9226580262184143
57,1352,0.9200481176376343
57,1749,0.9200114607810974
57,1558,0.9196748733520508
58,675,0.9314520955085754
58,474,0.928284227848053
58,459,0.9160558581352234
58,175,0.914746105670929
59,498,0.9101253151893616
59,1552,0.9076461791992188
60,454,0.9145622849464417
60,464,0.9138931632041931
60,687,0.9105241894721985
61,756,0.9577319622039795
61,601,0.9386715292930603
61,893,0.9346832633018494
61,326,0.9341633915901184
61,626,0.9319050908088684
61,704,0.9300915598869324
61,250,0.9283537864685059
61,857,0.9279550313949585
61,340,0.9277321100234985
62,463,0.9258754253387451
62,822,0.9249626398086548
63,828,0.9246026873588562
63,861,0.9223611950874329
63,439,0.9208123683929443
64,86,0.9359682202339172
64,73,0.914664626121521
65,1223,0.909598708152771
65,1575,0.9054441452026367
66,817,0.9270808696746826
66,788,0.9232829809188843
66,114,0.9222867488861084
66,833,0.9202419519424438
66,802,0.9196683764457703
67,1229,0.9217976331710815
67,1267,0.9113205671310425
68,758,0.9190691113471985
68,211,0.9124096035957336
68,608,0.9118460416793823
68,586,0.9077633619308472
69,483,0.9367859363555908
69,945,0.9359753131866455
69,379,0.9356124401092529
69,694,0.9351649880409241
69,538,0.9320905804634094
69,954,0.9295656681060791
69,166,0.9279452562332153
70,271,0.917949378490448
70,834,0.9150897264480591
71,93,0.9458122253417969
71,680,0.9281377792358398
71,977,0.9237643480300903
71,749,0.9172363877296448
72,1044,0.9999999403953552
72,1057,0.9281980991363525
72,1611,0.927387535572052
72,1937,0.9247413277626038
73,656,0.9129506945610046
74,769,0.9278509616851807
74,617,0.9244332313537598
74,715,0.9209869503974915
74,114,0.9185853600502014
74,962,0.9173409938812256
74,839,0.9152187705039978
75,195,0.9391885995864868
75,1659,0.9273366928100586
75,1696,0.9268641471862793
75,510,0.9246042370796204
75,559,0.92434161901474
75,76,0.9242041110992432
75,140,0.9238713979721069
75,805,0.9236490726470947
76,250,0.9281343221664429
76,585,0.9213800430297852
76,641,0.9185200929641724
78,531,0.917626142501831
78,144,0.9155204892158508
79,687,0.9158403873443604
79,383,0.9125230312347412
80,96,0.927179217338562
80,182,0.926674485206604
80,780,0.9255867004394531
80,1194,0.920404851436615
80,882,0.9201000332832336
81,438,0.930545449256897
81,841,0.9288731813430786
81,730,0.9204811453819275
81,896,0.9187816977500916
83,348,0.9212428331375122
83,1280,0.9212428331375122
83,471,0.9182965159416199
83,493,0.9148496389389038
84,439,0.9381100535392761
84,417,0.9345202445983887
84,626,0.9310197234153748
84,407,0.9303416013717651
84,828,0.9258708357810974
84,602,0.9219249486923218
85,331,0.9639869928359985
85,114,0.9191753268241882
85,164,0.9138653874397278
86,417,0.9308654069900513
86,833,0.9240477681159973
86,401,0.923028826713562
86,693,0.9212988615036011
87,612,0.9332647323608398
87,520,0.928727388381958
87,435,0.9260949492454529
87,752,0.9191803932189941
87,406,0.9184850454330444
88,1058,0.9999998211860657
88,1819,0.9288920164108276
88,1199,0.9173769354820251
88,253,0.9173769354820251
88,1170,0.9147467017173767
89,563,0.9249950051307678
89,899,0.9248276948928833
89,270,0.9208934307098389
89,1574,0.9176694750785828
90,823,0.921120285987854
90,640,0.914697527885437
91,425,0.9264464974403381
92,615,0.9401955604553223
92,388,0.9305198788642883
92,324,0.9264082312583923
92,503,0.9239038228988647
92,566,0.9236821532249451
92,302,0.9236273169517517
92,126,0.9234199523925781
92,228,0.9232991933822632
92,862,0.9230450391769409
93,760,0.9343976378440857
93,977,0.9341737031936646
93,789,0.9306085705757141
93,873,0.9281049966812134
93,227,0.9217050671577454
94,742,0.9181529879570007
94,686,0.9112645983695984
94,1812,0.9093937873840332
95,817,0.9303418397903442
95,319,0.9292248487472534
95,1696,0.927260160446167
95,1117,0.9270846247673035
95,1147,0.9240893721580505
95,1957,0.9235674142837524
95,456,0.9235215187072754
95,1431,0.9213636517524719
96,540,0.9313361048698425
96,272,0.9302991628646851
96,182,0.9290148019790649
96,727,0.9284354448318481
96,288,0.925629198551178
96,541,0.925590991973877
97,1719,0.9215879440307617
97,211,0.9043608903884888
98,1949,0.9230011105537415
98,1290,0.9218882322311401
99,624,0.8919942378997803
100,108,0.9346750378608704
100,921,0.9197229743003845
100,447,0.9113298058509827
103,160,0.9251786470413208
103,870,0.9251339435577393
103,1696,0.9241923689842224
103,339,0.9219834804534912
103,592,0.9207441806793213
105,700,0.944767415523529
105,402,0.9194297194480896
105,141,0.9108864068984985
106,164,0.9283494353294373
106,515,0.9176028370857239
106,331,0.9135567545890808
106,1355,0.9113445281982422
108,306,0.9335604906082153
108,921,0.9297082424163818
108,795,0.9252366423606873
108,387,0.9222974181175232
109,996,0.9302990436553955
109,1853,0.9290615916252136
109,1099,0.9246143102645874
109,124,0.9246143102645874
109,353,0.9231458902359009
109,1285,0.9231458902359009
109,133,0.922744631767273
109,917,0.9183850288391113
110,873,0.941893458366394
110,879,0.9355058670043945
110,639,0.9341350197792053
110,273,0.929105818271637
110,877,0.9286926984786987
110,599,0.927800178527832
110,858,0.9264282584190369
110,521,0.9254806637763977
112,1352,0.9081838130950928
113,702,0.9433683156967163
113,507,0.9355051517486572
113,989,0.9334940314292908
113,474,0.9309669733047485
113,178,0.93011474609375
113,651,0.9288679361343384
113,421,0.9268162846565247
113,731,0.9268128275871277
113,337,0.926662802696228
114,512,0.9365234375
114,157,0.926590621471405
114,795,0.9189868569374084
114,349,0.9187168478965759
114,715,0.9182190895080566
115,884,0.9628705978393555
115,1064,0.9074608683586121
116,397,0.9199543595314026
116,1460,0.9163877367973328
116,325,0.9089776277542114
117,401,0.9314078688621521
117,803,0.9086933135986328
117,976,0.8977161645889282
118,597,0.9261574149131775
119,1234,0.9282086491584778
119,266,0.9251958727836609
119,1676,0.9208276867866516
120,758,0.9231858849525452
120,765,0.9227230548858643
